text	model	Q1value	Q2value	Q3value	Q4value
t1	DeepSeek-R1	59.875	63.75	13.125	7.5
t1	DeepSeek-V3	69.875	40.25	15.5	11.0
t1	DeepSeek-V3-0324	68.75	49.625	22.25	11.25
t1	Llama-3.3-70B-Instruct-Turbo	80.0	43.25	18.75	12.0
t1	Llama-4-Maverick-17B	80.0	27.0	12.0	13.75
t1	Llama-4-Scout-17B	80.0	34.81481481481482	7.037037037037037	3.703703703703704
t1	Qwen2.5-VL-7B-Instruct	85.0	19.75	9.75	0.0
t1	Qwen3-235B-A22B-FP8	79.63636363636364	54.0	14.242424242424242	11.818181818181818
t1	claude-3-5-haiku-20241022	70.375	50.0	19.75	9.875
t1	claude-3-5-sonnet-20241022	85.0	68.75	21.5	18.75
t1	claude-3-7-sonnet-20250219	77.5	61.5	16.75	9.75
t1	claude-3-haiku-20240307	76.25	54.5	24.75	44.5
t1	gemini-2.0-flash	60.625	40.0	20.25	29.75
t1	gemini-2.0-flash-lite	73.75	22.625	11.875	2.625
t1	gemini-2.0-flash-thinking-exp	67.14285714285714	16.428571428571427	2.7142857142857144	8.285714285714286
t1	gemini-2.0-pro-exp	67.77777777777777	33.888888888888886	12.22222222222222	10.555555555555555
t1	gemini-2.5-flash-preview-04-17	64.54545454545455	17.727272727272727	3.484848484848485	8.93939393939394
t1	gemini-2.5-pro-preview-03-25	66.3157894736842	30.657894736842103	14.078947368421051	12.236842105263158
t1	gemma-3-12b-it	65.0	30.75	11.25	5.0
t1	gemma-3-1b-it	56.66666666666666	81.9	67.56666666666666	32.0
t1	gemma-3-27b-it	72.5	30.0	16.25	11.0
t1	gemma-3-4b-it	72.5	54.5	17.25	10.125
t1	gpt-4.1	71.125	51.75	19.0	6.75
t1	gpt-4.1-mini	70.625	45.0	13.75	6.875
t1	gpt-4.1-nano	73.375	34.625	10.5	6.5
t1	gpt-4o	72.375	56.5	12.875	6.875
t1	gpt-4o-mini	70.625	34.75	16.25	8.125
t1	grok-2-latest	77.25	51.5	10.0	6.875
t1	grok-3-fast-latest	72.625	43.75	12.5	6.25
t1	grok-3-latest	72.875	43.25	12.0	6.0
t1	grok-3-mini-fast-latest	70.75	31.625	8.75	6.0
t1	grok-3-mini-latest	72.375	27.375	9.875	6.375
t1	o1-mini	68.5	47.375	29.25	37.125
t1	o3	66.625	43.175	11.375	9.0
t1	o3-mini	76.625	48.75	11.5	8.375
t1	o4-mini	68.125	47.625	8.875	4.7
t2	DeepSeek-R1	84.5	85.25	11.25	22.875
t2	DeepSeek-V3	85.25	71.75	20.0	29.0
t2	DeepSeek-V3-0324	85.0	72.875	21.25	33.0
t2	Llama-3.3-70B-Instruct-Turbo	80.0	67.5	20.0	28.5
t2	Llama-4-Maverick-17B	80.0	79.5	19.75	34.0
t2	Llama-4-Scout-17B	80.0	88.97435897435898	13.58974358974359	37.69230769230769
t2	Qwen2.5-VL-7B-Instruct	85.0	70.0	20.0	52.30769230769231
t2	Qwen3-235B-A22B-FP8	85.54054054054055	87.70270270270271	15.555555555555555	31.12903225806452
t2	claude-3-5-haiku-20241022	84.125	71.5	12.75	31.0
t2	claude-3-5-sonnet-20241022	90.0	85.0	30.5	25.0
t2	claude-3-7-sonnet-20250219	86.5	86.375	18.625	15.5
t2	claude-3-haiku-20240307	80.875	70.875	27.25	59.0
t2	gemini-2.0-flash	85.0	74.5	21.0	41.75
t2	gemini-2.0-flash-lite	88.0	74.125	10.75	21.75
t2	gemini-2.0-flash-thinking-exp	85.07894736842105	84.94736842105263	9.552631578947368	28.94736842105263
t2	gemini-2.0-pro-exp	88.125	92.5	11.875	24.375
t2	gemini-2.5-flash-preview-04-17	84.30555555555556	86.66666666666667	8.75	30.13888888888889
t2	gemini-2.5-pro-preview-03-25	86.66666666666667	92.6923076923077	10.384615384615383	22.56410256410257
t2	gemma-3-12b-it	87.5	71.625	10.0	32.0
t2	gemma-3-1b-it	42.5	77.0	70.75	86.0
t2	gemma-3-27b-it	85.0	70.0	13.25	29.25
t2	gemma-3-4b-it	77.5	66.85	26.25	76.25
t2	gpt-4.1	83.375	80.875	19.625	10.875
t2	gpt-4.1-mini	84.375	76.125	30.0	34.5
t2	gpt-4.1-nano	78.375	81.625	24.75	42.5
t2	gpt-4o	81.75	81.125	14.625	20.0
t2	gpt-4o-mini	80.625	68.5	14.25	12.625
t2	grok-2-latest	80.0	78.5	20.25	29.0
t2	grok-3-fast-latest	84.625	75.0	12.5	22.25
t2	grok-3-latest	84.125	76.125	12.5	22.125
t2	grok-3-mini-fast-latest	83.0	69.5	11.0	30.0
t2	grok-3-mini-latest	83.75	70.0	11.125	31.75
t2	o1-mini	73.625	78.125	33.875	53.0
