model	temperature	Q1value_mean	Q1value_std	Q1value_median	Q1value_max	Q1value_min	Q1value_skew	Q1value_kurtosis	Q2value_mean	Q2value_std	Q2value_median	Q2value_max	Q2value_min	Q2value_skew	Q2value_kurtosis	Q3value_mean	Q3value_std	Q3value_median	Q3value_max	Q3value_min	Q3value_skew	Q3value_kurtosis	Q4value_mean	Q4value_std	Q4value_median	Q4value_max	Q4value_min	Q4value_skew	Q4value_kurtosis
Qwen2.5-VL-7B-Instruct	0.7	85.0	0.0	85.0	85.0	85.0	0.0	0.0	36.66666666666666	23.973165074269208	20.0	70.0	20.0	0.7448804862362222	-1.5535714285714282	13.10344827586207	4.708236154307584	10.0	20.0	10.0	0.8653079286064875	-1.3494776828110169	18.620689655172413	28.249416925845495	0.0	60.0	0.0	0.8653079286064885	-1.349477682811015
Qwen2.5-VL-7B-Instruct	0.4	85.0	0.0	85.0	85.0	85.0	0.0	0.0	36.66666666666666	23.973165074269208	20.0	70.0	20.0	0.7448804862362222	-1.5535714285714282	13.333333333333334	4.794633014853841	10.0	20.0	10.0	0.744880486236222	-1.5535714285714266	20.0	28.767798089123048	0.0	60.0	0.0	0.7448804862362217	-1.5535714285714286
Qwen2.5-VL-7B-Instruct	0.9	85.0	0.0	85.0	85.0	85.0	0.0	0.0	36.333333333333336	24.280449540423614	20.0	70.0	10.0	0.7240912319032393	-1.5456058632277905	9.5	2.23606797749979	10.0	10.0	0.0	-4.47213595499958	20.0	10.0	14.383899044561524	0.0	30.0	0.0	0.7448804862362217	-1.5535714285714286
Qwen2.5-VL-7B-Instruct	0.1	85.0	0.0	85.0	85.0	85.0	0.0	0.0	35.333333333333336	25.152408993194257	20.0	70.0	10.0	0.6823847873618231	-1.538241743848025	13.333333333333334	4.794633014853841	10.0	20.0	10.0	0.744880486236222	-1.5535714285714266	21.33333333333333	28.00656737431337	0.0	60.0	0.0	0.7012315599890256	-1.5630145890758038
Qwen3-235B-A22B-FP8	0.7	81.19047619047619	6.500915686417166	85.0	95.0	70.0	-0.1868927568763859	-0.518581317407782	67.52380952380952	19.033179050329576	70.0	90.0	30.0	-0.4710988162691464	-0.859841086302584	29.5	30.47432050967365	12.5	90.0	10.0	1.2800356816161669	-0.2050353026687532	25.0	17.224014243685083	25.0	65.0	5.0	0.8163599371003735	0.5519928247487895
Qwen3-235B-A22B-FP8	0.4	78.46153846153847	15.477030126560509	85.0	90.0	20.0	-2.9310844916066183	8.96444653312356	70.96153846153847	15.23280872125891	70.0	90.0	50.0	0.0321002712310458	-1.4779978576093655	39.42307692307692	32.444627385036284	20.0	90.0	10.0	0.6225724266547352	-1.5444541788603432	30.789473684210527	19.095022467672973	25.0	65.0	10.0	0.7542143861063942	-0.552232684259478
Qwen3-235B-A22B-FP8	0.9	80.66666666666667	12.250588682872472	85.0	95.0	30.0	-2.9043677977665685	11.138689013585276	71.14814814814815	16.040102876381447	70.0	95.0	40.0	-0.2472368244022954	-0.7470154865813488	35.925925925925924	31.29257214140556	20.0	92.0	5.0	0.9529105631727488	-0.9151768885509064	34.72727272727273	25.666694777068997	30.0	80.0	5.0	0.5622746281678699	-0.9831784180409432
Qwen3-235B-A22B-FP8	0.1	82.2	5.01663898109747	85.0	90.0	75.0	-0.494180403535879	-1.1229744621491349	67.0	19.311050377094112	60.0	95.0	40.0	0.2113112007860674	-1.675447700223022	28.125	26.77655122774727	17.5	85.0	10.0	1.4608294642983504	0.4533939177718706	25.217391304347824	16.61586460349684	25.0	60.0	5.0	0.7478619461754351	-0.4650139741837931
claude-3-5-haiku-20241022	0.7	74.83333333333333	6.883680517809086	70.0	85.0	65.0	0.6583325348908159	-1.3437923230285014	60.66666666666666	8.583598366625747	60.0	75.0	50.0	0.0857466907764055	-1.292849997931274	25.666666666666668	14.064710873459966	20.0	50.0	10.0	0.6110805227169273	-1.0708923460587043	25.0	11.962585350828729	30.0	50.0	10.0	-0.0647457598358936	-1.0406422016234762
claude-3-5-haiku-20241022	0.4	75.0	7.191949522280762	70.0	85.0	70.0	0.7448804862362217	-1.5535714285714286	61.5	10.99764865151042	60.0	80.0	40.0	0.048329794783957	-1.2018173536282832	29.0	18.448436995751344	20.0	80.0	10.0	0.9687726081969924	0.1011152411268816	27.666666666666668	13.565507307349296	30.0	50.0	10.0	-0.3442772352928993	-1.4863496296790055
claude-3-5-haiku-20241022	0.9	69.16666666666667	18.245610399506365	70.0	85.0	20.0	-1.5813098665640788	1.8453281201257403	62.66666666666666	9.625158604455285	60.0	80.0	50.0	-0.0232942938202159	-1.2993380688790137	35.166666666666664	27.432780961185244	20.0	85.0	10.0	0.8839952717868419	-0.9805488520447838	32.833333333333336	21.321970752761324	30.0	75.0	10.0	0.5502776544596091	-0.7826498779652442
claude-3-5-haiku-20241022	0.1	74.16666666666667	6.170471022837572	70.0	85.0	70.0	0.9282537397931896	-0.9763515231653388	55.66666666666666	11.043279539543756	50.0	70.0	40.0	0.3132222570406815	-1.4010817448170052	36.333333333333336	31.675437381878933	20.0	80.0	10.0	0.6888373162988602	-1.555372190837507	33.5	21.13788884509487	30.0	60.0	5.0	0.1800812694766342	-1.565381760883172
claude-3-5-sonnet-20241022	0.7	68.66666666666667	27.22617064179412	85.0	90.0	30.0	-0.7381042139073242	-1.517197523555399	74.66666666666667	7.648904962570577	70.0	85.0	60.0	0.4910459854838132	-1.239230477837324	45.66666666666666	30.75860780371876	30.0	90.0	20.0	0.6927136001689028	-1.5332138862745668	46.0	30.55238576383306	30.0	90.0	10.0	0.5408747663889795	-1.5394159431185168
claude-3-5-sonnet-20241022	0.4	68.33333333333333	27.64720268113854	85.0	90.0	30.0	-0.7260229151131617	-1.5535714285714295	73.33333333333333	9.128709291752768	70.0	85.0	60.0	0.1686337923353361	-1.229064039408866	47.333333333333336	28.789765103464177	30.0	90.0	20.0	0.698450214226921	-1.5171124221563372	42.833333333333336	33.07992758751752	20.0	90.0	10.0	0.6523938389627577	-1.5660850245878064
claude-3-5-sonnet-20241022	0.9	68.33333333333333	27.64720268113854	85.0	90.0	30.0	-0.7260229151131617	-1.5535714285714295	74.33333333333333	8.065821177311573	70.0	85.0	60.0	0.3367047249446127	-1.130228112296499	47.833333333333336	30.560379277901564	30.0	90.0	20.0	0.628107766639786	-1.558201669968927	42.833333333333336	31.532231275242832	30.0	90.0	10.0	0.5887426212458655	-1.5751982612344302
claude-3-5-sonnet-20241022	0.1	65.0	32.43029660565926	85.0	90.0	20.0	-0.7311664176939148	-1.5535714285714286	69.33333333333333	12.507469032909713	65.0	85.0	40.0	0.0345967308402421	-0.8256265286323781	45.0	29.065917948808988	30.0	85.0	20.0	0.6770575877288463	-1.5535714285714286	40.16666666666666	29.609042576531422	20.0	90.0	10.0	0.7944251841824094	-1.1668301455304697
claude-3-haiku-20240307	0.7	65.5	19.40271932594448	80.0	85.0	30.0	-0.8472375518569217	-1.018665045909683	60.5	12.618404730037568	60.0	90.0	30.0	-0.3963691938126864	0.5558891467118827	41.66666666666666	23.937178316316366	30.0	80.0	10.0	0.645885137886095	-1.363821224383854	61.333333333333336	14.558640835892126	60.0	80.0	30.0	-0.5346872616351884	-0.3228185181027498
claude-3-haiku-20240307	0.4	69.33333333333333	17.005746155310288	80.0	80.0	30.0	-1.1961061058713591	-0.2773311447210291	63.0	7.022132498578064	60.0	70.0	40.0	-1.1395395919428115	2.5682243164760643	42.66666666666666	21.96130348077528	30.0	80.0	20.0	0.8076305637160819	-1.1431436617845931	63.66666666666666	14.499306364701424	65.0	90.0	30.0	-0.4792748265041557	-0.2153758983924563
claude-3-haiku-20240307	0.9	64.66666666666667	24.45732854463524	80.0	90.0	20.0	-0.8432521982251096	-1.0192778536026583	63.333333333333336	8.840866447369844	60.0	80.0	40.0	-0.4158495787852388	0.6128274839347498	43.0	25.07230922063567	30.0	80.0	20.0	0.6613267571326167	-1.4568457167640096	60.66666666666666	17.798359733284478	60.0	90.0	30.0	-0.1466656758590717	-0.7523486727693003
claude-3-haiku-20240307	0.1	70.0	8.304547985373997	70.0	80.0	60.0	0.0	-1.5535714285714286	63.333333333333336	9.942362632324556	70.0	70.0	40.0	-0.9690404435353042	-0.7808467897705316	39.0	22.946714887711728	30.0	80.0	20.0	1.0299765225130353	-0.5059954590410318	56.333333333333336	20.75860159620308	60.0	90.0	30.0	-0.0167594284298626	-1.2043642991253751
claude-3-7-sonnet-20250219	0.7	63.0	29.786597310037696	80.0	90.0	15.0	-0.741113841699567	-1.3580678831031194	70.5	12.549900398011133	65.0	90.0	60.0	0.6779410690524429	-1.443481728883246	40.333333333333336	32.188382283410704	20.0	85.0	15.0	0.7313828216352691	-1.553143081467343	34.333333333333336	29.87714307227047	15.0	80.0	10.0	0.6965109336286055	-1.5581901995818364
claude-3-7-sonnet-20250219	0.4	60.333333333333336	29.300268721061872	75.0	85.0	15.0	-0.692736718149302	-1.5344309283938191	68.16666666666667	13.3573777452719	60.0	90.0	40.0	0.5622410458397016	-0.5081264068058968	40.5	32.06539653851818	20.0	85.0	15.0	0.731922312935152	-1.5529518335225612	34.0	30.26890973510153	15.0	90.0	10.0	0.7307075668213149	-1.438544674981784
claude-3-7-sonnet-20250219	0.9	63.66666666666666	30.055504210266268	80.0	90.0	15.0	-0.7016841113079385	-1.4777602382207815	69.66666666666667	10.90186106647134	65.0	90.0	60.0	0.6685978654945635	-1.3020971682336344	39.66666666666666	32.74597457054397	20.0	85.0	10.0	0.7150615317688908	-1.5507947568313794	33.0	31.11713132775844	15.0	90.0	5.0	0.7255758440591848	-1.4108235003890277
