text,model,Q1reason,Q2reason,Q3reason,Q4reason
t1,DeepSeek-R1,90.5,86.175,66.775,69.925
t1,DeepSeek-V3,96.35,82.625,73.7,75.975
t1,DeepSeek-V3-0324,81.0,83.65,61.65,65.975
t1,Llama-3.3-70B-Instruct-Turbo,105.275,107.425,100.575,115.425
t1,Llama-4-Maverick-17B,138.175,108.8,107.425,132.35
t1,Llama-4-Scout-17B,93.375,73.75,59.3,67.2
t1,Qwen2.5-VL-7B-Instruct,129.45,50.0,67.075,65.875
t1,Qwen3-235B-A22B-FP8,132.55,119.25,100.35,88.875
t1,claude-3-5-haiku-20241022,88.875,82.025,67.925,71.775
t1,claude-3-5-sonnet-20241022,97.975,90.275,68.075,88.675
t1,claude-3-7-sonnet-20250219,179.95,153.85,146.05,150.325
t1,claude-3-haiku-20240307,119.275,102.575,97.075,126.475
t1,gemini-2.0-flash,94.55,86.925,93.925,109.825
t1,gemini-2.0-flash-lite,105.4,72.875,71.675,65.075
t1,gemini-2.0-flash-thinking-exp,121.575,101.225,79.9,108.975
t1,gemini-2.0-pro-exp,161.54545454545453,161.72727272727272,151.1818181818182,156.1818181818182
t1,gemini-2.5-flash-preview-04-17,116.475,100.0,82.7,113.575
t1,gemini-2.5-pro-preview-03-25,143.975,147.7,146.775,159.575
t1,gemma-3-12b-it,118.625,110.45,102.55,108.3
t1,gemma-3-1b-it,77.925,96.5,90.225,90.775
t1,gemma-3-27b-it,87.325,77.85,83.225,80.475
t1,gemma-3-4b-it,131.625,128.625,94.9,98.3
t1,gpt-4.1,82.025,79.7,64.975,68.375
t1,gpt-4.1-mini,96.425,87.2,70.125,70.425
t1,gpt-4.1-nano,66.85,61.475,49.975,54.525
t1,gpt-4o,103.525,90.975,86.25,91.675
t1,gpt-4o-mini,95.625,85.05,87.525,86.95
t1,grok-2-latest,137.6,119.1,94.225,103.3
t1,grok-3-fast-latest,148.625,124.25,116.175,123.375
t1,grok-3-latest,144.375,125.825,114.925,125.4
t1,grok-3-mini-fast-latest,126.575,108.525,102.125,97.275
t1,grok-3-mini-latest,129.775,105.225,102.35,97.05
t1,o1-mini,72.15,67.25,59.6,65.625
t1,o3,81.05,78.675,60.4,69.45
t1,o3-mini,111.35,105.75,96.15,111.6
t1,o4-mini,82.075,82.15,63.8,64.525
t2,DeepSeek-R1,110.7,99.5,78.55,89.875
t2,DeepSeek-V3,103.85,85.725,72.525,85.275
t2,DeepSeek-V3-0324,89.15,80.45,68.175,80.375
t2,Llama-3.3-70B-Instruct-Turbo,152.9,139.125,118.3,136.0
t2,Llama-4-Maverick-17B,136.575,135.275,118.725,158.35
t2,Llama-4-Scout-17B,162.325,139.8,118.75,162.225
t2,Qwen2.5-VL-7B-Instruct,119.0,81.5,92.15,123.575
t2,Qwen3-235B-A22B-FP8,118.75,111.8,86.0,75.85
t2,claude-3-5-haiku-20241022,130.05,105.375,81.075,108.525
t2,claude-3-5-sonnet-20241022,100.075,85.725,81.7,99.275
